player,round,hole,strokes,par,score
"Karuzas, Darrin",1,1,5,5,0
"Karuzas, Darrin",1,2,4,4,0
"Karuzas, Darrin",1,3,3,3,0
"Karuzas, Darrin",1,4,4,4,0
"Karuzas, Darrin",1,5,4,4,0
"Karuzas, Darrin",1,6,3,4,-1
"Karuzas, Darrin",1,7,3,3,0
"Karuzas, Darrin",1,8,4,4,0
"Karuzas, Darrin",1,9,4,5,-1
"Karuzas, Darrin",1,10,4,4,0
"Karuzas, Darrin",1,11,3,4,-1
"Karuzas, Darrin",1,12,2,3,-1
"Karuzas, Darrin",1,13,4,4,0
"Karuzas, Darrin",1,14,5,5,0
"Karuzas, Darrin",1,15,3,4,-1
"Karuzas, Darrin",1,16,4,4,0
"Karuzas, Darrin",1,17,5,5,0
"Karuzas, Darrin",1,18,3,3,0
"Crane, Steve",1,1,5,5,0
"Crane, Steve",1,2,4,4,0
"Crane, Steve",1,3,3,3,0
"Crane, Steve",1,4,4,4,0
"Crane, Steve",1,5,3,4,-1
"Crane, Steve",1,6,3,4,-1
"Crane, Steve",1,7,3,3,0
"Crane, Steve",1,8,4,4,0
"Crane, Steve",1,9,4,5,-1
"Crane, Steve",1,10,3,4,-1
"Crane, Steve",1,11,6,4,2
"Crane, Steve",1,12,3,3,0
"Crane, Steve",1,13,4,4,0
"Crane, Steve",1,14,5,5,0
"Crane, Steve",1,15,4,4,0
"Crane, Steve",1,16,3,4,-1
"Crane, Steve",1,17,4,5,-1
"Crane, Steve",1,18,4,3,1
"Gora, Michael",1,1,5,5,0
"Gora, Michael",1,2,5,4,1
"Gora, Michael",1,3,3,3,0
"Gora, Michael",1,4,4,4,0
"Gora, Michael",1,5,4,4,0
"Gora, Michael",1,6,5,4,1
"Gora, Michael",1,7,4,3,1
"Gora, Michael",1,8,3,4,-1
"Gora, Michael",1,9,4,5,-1
"Gora, Michael",1,10,4,4,0
"Gora, Michael",1,11,4,4,0
"Gora, Michael",1,12,3,3,0
"Gora, Michael",1,13,3,4,-1
"Gora, Michael",1,14,4,5,-1
"Gora, Michael",1,15,4,4,0
"Gora, Michael",1,16,4,4,0
"Gora, Michael",1,17,4,5,-1
"Gora, Michael",1,18,2,3,-1
"Flores, Jason",1,1,4,5,-1
"Flores, Jason",1,2,5,4,1
"Flores, Jason",1,3,3,3,0
"Flores, Jason",1,4,3,4,-1
"Flores, Jason",1,5,4,4,0
"Flores, Jason",1,6,5,4,1
"Flores, Jason",1,7,4,3,1
